"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","COTTON - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","COTTON - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>","COTTON, PIMA - PRICE RECEIVED, MEASURED IN $ / LB  -  <b>VALUE</b>","COTTON, PIMA - PRICE RECEIVED, MEASURED IN $ / LB  -  <b>CV (%)</b>"
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","860","","",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","905","","",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","867","","",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","766","","",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","838","","",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","821","","",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","892","","",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","790","","",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","812","","",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","776","","",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","813","","",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","879","","",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","814","","",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","831","","",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","855","","0.99",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","730","","1.21",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","665","","0.86",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","705","","0.86",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","632","","1",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","607","","0.85",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","625","","0.92",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","673","","1.01",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","705","","1.07",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","537","","",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","708","","",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","606","","",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","700","","",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","652","","",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","634","","",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","614","","",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","619","","",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","706","","",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","552","","",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","630","","",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","600","","",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","508","","",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","590","","",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","542","","",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","404","","",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","547","","",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","420","","",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","520","","",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","465","","",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","453","","",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","442","","",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","520","","",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","507","","",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","438","","",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","438","","",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","434","","",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","516","","",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","447","","",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","480","","",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","527","","",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","517","","",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","517","","",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","457","","",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","438","","",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","446","","",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","461","","",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","466","","",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","388","","",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","409","","",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","417","","",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","341","","",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","324","","",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","280","","",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","269","","",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","269","","",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","282","","",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","311","","",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","267","","",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","236","","",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","254","","",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","299","","",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","254","","",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","272","","",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","232","","",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","253","","",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","238","","",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","236","","",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","270","","",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","199","","",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","185","","",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","172","","",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","213","","",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","174","","",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","212","","",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","157","","",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","164","","",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","163","","",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","162","","",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","193","","",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","174","","",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","165","","",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","136","","",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","149","","",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","133","","",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","187","","",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","166","","",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","164","","",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","167","","",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","166","","",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","179","","",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","216","","",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","192","","",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","201","","",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","215","","",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","176","","",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","157","","",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","204","","",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","173","","",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","202","","",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","182","","",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","214","","",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","170","","",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","185","","",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","168","","",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","195","","",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","185","","",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","223","","",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","209","","",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","175","","",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","172","","",""
"SURVEY","1894","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","219","","",""
"SURVEY","1893","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","175","","",""
"SURVEY","1892","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","169","","",""
"SURVEY","1891","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","199","","",""
"SURVEY","1890","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","196","","",""
"SURVEY","1889","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","177","","",""
"SURVEY","1888","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","170","","",""
"SURVEY","1887","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","175","","",""
"SURVEY","1886","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","164","","",""
"SURVEY","1885","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","170","","",""
"SURVEY","1884","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","155","","",""
"SURVEY","1883","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","162","","",""
"SURVEY","1882","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","209","","",""
"SURVEY","1881","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","149","","",""
"SURVEY","1880","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","191","","",""
"SURVEY","1879","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","181","","",""
"SURVEY","1878","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","168","","",""
"SURVEY","1877","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","170","","",""
"SURVEY","1876","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","168","","",""
"SURVEY","1875","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","181","","",""
"SURVEY","1874","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","157","","",""
"SURVEY","1873","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","168","","",""
"SURVEY","1872","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","182","","",""
"SURVEY","1871","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","159","","",""
"SURVEY","1870","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","208","","",""
"SURVEY","1869","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","155","","",""
"SURVEY","1868","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","151","","",""
"SURVEY","1867","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","143","","",""
"SURVEY","1866","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","122","","",""
